"","eventid","iyear","imonth","iday","country","country_txt","region","region_txt","city","provstate","latitude","longitude","success","suicide","attacktype1","attacktype1_txt","targtype1","targtype1_txt","corp1","target1","gname","individual","weaptype1_txt","nkill","nwound","ishostkid","ransom","dbsource"
"1",198506200009,1985,6,20,141,"Nepal",6,"South Asia","Kathmandu","Central",27.708754,85.329498,1,0,3,"Bombing/Explosion",2,"Government (General)","","Annapurna Hotel (owned by Royal Palace)","United Liberation Torchbearers Forces",0,"Explosives",4,19,0,0,"PGIS"
"2",198506200010,1985,6,20,141,"Nepal",6,"South Asia","Kathmandu","Central",27.708754,85.329498,1,0,3,"Bombing/Explosion",2,"Government (General)","","Parliament","United Liberation Torchbearers Forces",0,"Explosives",2,0,0,0,"PGIS"
"3",198506200011,1985,6,20,141,"Nepal",6,"South Asia","Kathmandu","Central",27.708754,85.329498,1,0,3,"Bombing/Explosion",2,"Government (General)","","Government Secretariat Bldg","United Liberation Torchbearers Forces",0,"Explosives",0,0,0,0,"PGIS"
"4",198506200012,1985,6,20,141,"Nepal",6,"South Asia","Kathmandu","Central",27.708754,85.329498,1,0,3,"Bombing/Explosion",2,"Government (General)","","royal palace","United Liberation Torchbearers Forces",0,"Explosives",0,0,0,0,"PGIS"
"5",198506200013,1985,6,20,141,"Nepal",6,"South Asia","Kathmandu","Central",27.708754,85.329498,1,0,3,"Bombing/Explosion",2,"Government (General)","","royal palace","United Liberation Torchbearers Forces",0,"Explosives",0,0,0,0,"PGIS"
"6",198506200014,1985,6,20,141,"Nepal",6,"South Asia","Dhano-ari","Central",27.413611,85.461111,1,0,3,"Bombing/Explosion",14,"Private Citizens & Property","","marbet","Unknown",0,"Explosives",0,1,0,0,"PGIS"
"7",198506200015,1985,6,20,141,"Nepal",6,"South Asia","Bhairahawa","Far-Western",28.728056,80.915833,1,0,3,"Bombing/Explosion",1,"Business","","hospital","Unknown",0,"Explosives",0,1,0,0,"PGIS"
"8",198506200016,1985,6,20,141,"Nepal",6,"South Asia","Bhairahawa","Far-Western",28.728056,80.915833,1,0,3,"Bombing/Explosion",6,"Airports & Aircraft","","Local airport","Unknown",0,"Explosives",0,1,0,0,"PGIS"
"9",198506260006,1985,6,26,141,"Nepal",6,"South Asia","Rajbiraj","Eastern",26.540301,86.748377,0,0,3,"Bombing/Explosion",19,"Transportation","","passenger bus","Unknown",0,"Explosives",0,0,0,0,"PGIS"
"10",199107290019,1991,7,29,141,"Nepal",6,"South Asia","Kathmandu","Central",27.708754,85.329498,1,0,8,"Unarmed Assault",3,"Police","Police","Unit","All Nepal Free Nationalist Students Union",0,"Melee",0,0,0,0,"PGIS"
"11",199204060003,1992,4,6,141,"Nepal",6,"South Asia","Kathmandu","Central",27.708754,85.329498,1,0,7,"Facility/Infrastructure Attack",6,"Airports & Aircraft","Royal Nepal Airlines","Telephone Equipment apparently airline equipment","Anti-Monarchists",0,"Incendiary",0,0,0,0,"PGIS"
"12",199204060004,1992,4,6,141,"Nepal",6,"South Asia","Kathmandu","Central",27.708754,85.329498,0,0,7,"Facility/Infrastructure Attack",6,"Airports & Aircraft","Royal Nepal Airlines","Fuel storage area","Anti-Monarchists",0,"Incendiary",0,0,0,0,"PGIS"
"13",199204060009,1992,4,6,141,"Nepal",6,"South Asia","Patan","Central",27.66897,85.319824,1,0,9,"Unknown",3,"Police","Security Force","Unit","Left-Wing Terrorists",0,"Unknown",0,0,0,0,"PGIS"
"14",199204060010,1992,4,6,141,"Nepal",6,"South Asia","Kathmandu","Central",27.708754,85.329498,1,0,9,"Unknown",3,"Police","Security Force","Units","Left-Wing Terrorists",0,"Unknown",6,37,0,0,"PGIS"
"15",199205170004,1992,5,17,141,"Nepal",6,"South Asia","Sindhuli district","Central",27.256882,85.971322,0,0,1,"Assassination",2,"Government (General)","Nepal Congress","Member Parliament Dhurba Prasad Sharma and associates","United People's Front",0,"Unknown",0,6,0,0,"PGIS"
